speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
78.2161657704149,0.223868078106487,5,0,4.13632676987025,1,3,2489.69788241133,138.787764698584,48.5246466750375,-3.77404011262817,226.44240675769,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.23681319490241E-11,-2.24627136874452E-10,4.88277768131016,-0.00928384087219153,0,3017.70595988737,
78.3863264979742,0.235374650835221,5.25,0,4.10781471431671,1,3,2495.11426659356,138.110716675805,48.3929802966972,-3.79047896403293,227.428737841976,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,4.1227106496747E-12,-7.50404590213102E-11,5.12660808558964,-0.00977246407599108,0,3017.68952103597,
78.5549497356788,0.246856245141382,5.5,0,4.07955437217896,1,3,2500.48171095373,137.439786130784,48.2614875419098,-3.806804523392,228.40827140352,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.3742368832249E-12,-2.5067903646534E-11,5.37043848986912,-0.0102610872797906,0,3017.67319547661,
78.7220556633485,0.258313193468996,5.75,0,4.05154251501011,1,3,2505.80085783545,136.774892770569,48.130180160539,-3.82301779110088,229.381067466053,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,4.58078961074966E-13,-8.37394308807676E-12,5.61426889414861,-0.0107497104835902,0,3017.6569822089,
78.8876640694407,0.269745821751073,6,0,4.02377597614338,1,3,2511.07233712488,136.11595785939,47.9990694857485,-3.83911975470307,230.347185282184,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.52692987024989E-13,-2.79725218300231E-12,5.85809929842809,-0.0112383336873897,0,3017.6408802453,
79.0517943614915,0.281154449584289,6.25,0,3.99625164905034,1,3,2516.29676658308,135.462904177115,47.8681664478882,-3.85511138913684,231.30668334821,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,5.08976623416629E-14,-9.34378930490482E-13,6.10192970270757,-0.0117269568911893,0,3017.62488861086,
79.2144655762022,0.292539390397706,6.5,0,3.96896648575512,1,3,2521.47475216707,134.815655979116,47.7374815878544,-3.87099365697562,232.259619418537,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.6965887447221E-14,-3.12107653079215E-13,6.34576010698705,-0.0122155800949888,0,3017.60900634302,
79.3756963891841,0.303900951615767,6.75,0,3.94191749530225,1,3,2526.60688834003,134.174138957496,47.6070250699488,-3.88676750866182,233.206050519709,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,5.65529581574032E-15,-1.04249967339372E-13,6.58959051126653,-0.0127042032987884,0,3017.59323249134,
79.5355051243766,0.315239434815804,7,0,3.91510174227599,1,3,2531.69375837106,133.538280203617,47.4768066942565,-3.90243388273464,234.146032964078,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.88509860524677E-15,-3.48207182274981E-14,6.83342091554602,-0.0131928265025879,0,3017.57756611727,
79.6939097631513,0.326555135880285,7.25,0,3.88851634536897,1,3,2536.735934625,132.908008171875,47.3468359085655,-3.91799370605184,235.07962236311,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,6.28366201748925E-16,-1.16302745004747E-14,7.0772513198255,-0.0136814497063875,0,3017.56200629395,
