speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
80.9240922744484,0.253483464645798,5.75,0,5.86639548840985,1,3,2575.89386014062,221.807960489453,80.2360690122812,-4.0398862762342,242.393176574052,6.65549167731364,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,4.65141354142129E-13,-8.73399349342934E-12,5.61426889414861,-0.0107497104835902,0,3380.41011372377,
81.1588028495822,0.26460499810641,6,0,5.86226550614745,1,3,2583.36492978632,221.247630266026,80.2655041961921,-4.06335466693047,243.801280015828,6.41948034113619,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.55047118047376E-13,-2.9198304876629E-12,5.85809929842809,-0.0112383336873897,0,3380.38664533307,
81.3926698852989,0.275694368185809,6.25,0,5.85813847060095,1,3,2590.80914873843,220.689313844617,80.2936641549394,-4.08680631596471,245.208378957883,6.18313028725035,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,5.16823726824587E-14,-9.76099701346316E-13,6.10192970270757,-0.0117269568911893,0,3380.36319368404,
81.6257007788082,0.286751874976879,6.5,0,5.85401437916064,1,3,2598.22675245746,220.13299356569,80.320562355377,-4.11024123811066,246.614474286639,5.94643782261737,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.72274575608196E-14,-3.26304142731403E-13,6.34576010698705,-0.0122155800949888,0,3380.33975876189,
81.8579028166696,0.297777814006044,6.75,0,5.84989322922848,1,3,2605.61797288179,219.719101355911,80.3976039915744,-4.13365944807707,248.019566884624,5.70939927398985,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,5.74248585360653E-15,-1.09079455414571E-13,6.58959051126653,-0.0127042032987884,0,3380.31634055192,
82.089283177115,0.308772476329799,7,0,5.84577501821787,1,3,2612.98303850164,219.350848074918,80.4897279047022,-4.1570609605091,249.423657630546,5.53243537403801,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.91416195120218E-15,-3.64632518738075E-14,6.83342091554602,-0.0131928265025879,0,3380.29293903949,
82.3198489323096,0.319736148628632,7.25,0,5.84165974355337,1,3,2620.32217443103,218.983891278448,80.5807697421179,-4.18044578998958,250.826747399375,5.37449526381022,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,6.38053983734059E-16,-1.2188773087803E-14,7.0772513198255,-0.0136814497063875,0,3380.26955421001,
82.5496070505516,0.330669113298429,7.5,0,5.83754740267053,1,3,2627.63560247777,218.618219876111,80.6707402384316,-4.20381395104034,252.22883706242,5.21658464845769,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,2.12684661244686E-16,-4.07433597673266E-15,7.32108172410498,-0.014170072910187,0,3380.24618604896,
82.7785643984139,0.341571648539437,7.75,0,5.8334379930156,1,3,2634.92354121167,218.253822939416,80.759649969791,-4.22716545812342,253.629927487405,5.05870166998843,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,7.08948870815621E-17,-1.36190253923558E-15,7.56491212838446,-0.0146586961139866,0,3380.22283454188,
83.006727742829,0.352444028442866,8,0,5.82933151204537,1,3,2642.18620603088,217.890689698456,80.8475093571291,-4.25050032564231,255.030019538538,4.90084449540934,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,2.36316290271874E-17,-4.55226625041913E-16,7.80874253266395,-0.0151473193177862,0,3380.19949967436,
83.2341037531193,0.363286523075209,8.25,0,5.8252279572269,1,3,2649.42380922652,217.528809538674,80.9343286693269,-4.27381856794308,256.429114076585,4.74301131619301,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,7.87720967572912E-18,-1.52160456839497E-16,8.05257293694343,-0.0156359425215857,0,3380.17618143206,
83.4606990029739,0.374099398560353,8.5,0,5.82112732603737,1,3,2656.63656004562,217.168171997719,81.0201180262943,-4.29712019931557,257.827211958934,4.58520034775855,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,2.62573655857637E-18,-5.08590873538955E-17,8.29640334122291,-0.0161245657253853,0,3380.15287980068,
